Name,Scopus_ID,Scopus_name
ROBERT MCCLELLAND,7101803905,"McClelland, Robert B."
ROBERT MCDONALD,7401840910,"McDonald, Robert L."
ROBERT NOVY-MARX,21733328700,"Novy-Marx, Robert"
ROBERT SHILLER,6701603939,"Shiller, Robert J."
ROBERT STAMBAUGH,7006465007,"Stambaugh, Robert F."
ROBERTA ROMANO,8672380500,"Romano, Roberta"
ROBERTO CHANG,7403713601,"Chang, Roberto"
ROBERTO RIGOBON,6602429118,"Rigobón, Roberto"
ROBERTON WILLIAMS,55495815300,"Williams, Roberton"
ROBIN GREENWOOD,7202083980,"Greenwood, Robin M."
ROGER GORDON,7402754623,"Gordon, Roger H."
ROSANNE ALTSHULER,6602099638,"Altshuler, Rosanne"
ROSS LEVINE,23080621700,"Levine, Ross L."
RUSSELL COOPER,7404338428,"Cooper, Russell W."
SANDRA BLACK,8450457100,"Black, Sandra E."
SANJIV DAS,55446106100,"Das, Sanjiv Ranjan"
SATYAJIT CHATTERJEE,7402749596,"Chatterjee, Satyajit"
SCOTT JOSLIN,36977188800,"Joslin, Scott"
SEAN NICHOLSON,7101734232,"Nicholson, Sean Ph D."
SEBNEM KALEMLI-OZCAN,7801632189,"Kalemli-Özcan, Şebnem"
SENDHIL MULLAINATHAN,6603277860,"Mullainathan, Sendhil"
SHANE GREENSTEIN,7005620197,"Greenstein, Shane Mitchell"
SHANG-JIN WEI,7401765384,"Wei, Shang Jin"
SHAWN COLE,11239173800,"Cole, Shawn A."
SHERIDAN TITMAN,7003382478,"Titman, Sheridan D."
SIMON JOHNSON,7406326915,"Johnson, Simon"
SKANDER VAN DEN HEUVEL,23480627400,"van den Heuvel, Skander J."
STANLEY ZIN,8850820200,"Zin, Stanley E."
STEPHAN MEIER,56221488200,"Meier, Stephan"
STEPHANIE SCHMITT-GROHE,6701711758,"Schmitt-Grohé, Stephanie"
STEPHEN BROWN,55489559900,"Brown, Stephen J.C."
STEPHEN OLINER,6603173284,"Oliner, Stephen D."
STEPHEN SHORE,36195742600,"Shore, Stephen H."
STEVE BOND,7101790332,"Bond, Stephen R."
STEVEN KAPLAN,57202344470,"Kaplan, Steven N."
STEVEN ZELDES,6505875912,"Zeldes, Stephen P."
STIJN CLAESSENS,7003997117,"Claessens, Stijn"
STUART ROSENTHAL,7202208577,"Rosenthal, Stuart S."
SUSAN COLLINS,7402535503,"Collins, Susan M."
SUSAN HOUSEMAN,8447703800,"Houseman, Susan N."
SUSAN WOODWARD,36451586800,"Woodward, Susan E."
SUSANTO BASU,7403656319,"Basu, Susanto"
SYDNEY LUDVIGSON,6602544953,"Ludvigson, Sydney C."
SYDNEY LUDVIGSSON,6602544953,"Ludvigson, Sydney C."
TAKEO HOSHI,24404734500,"Hoshi, Takeo"
TAREK HARCHAOUI,55947684100,"Harchaoui, Tarek M."
THOMAS DAVIDOFF,12805621200,"Davidoff, Thomas"
THOMAS NECHYBA,6603663191,"Nechyba, Thomas J."
THOMAS PHILIPPON,23013052900,"Philippon, Thomas"
TIL SCHUERMANN,6603047433,"Schuermann, Til"
TIMOTHY SMEEDING,6701450632,"Smeeding, Timothy M.Tim"
TOBIAS ADRIAN,7103082117,"Adrian, Tobias"
TOBIAS MOSKOWITZ,6603245402,"Moskowitz, Tobias J."
TODD SINAI,6603486284,"Sinai, Todd"
TOMAS DVORAK,36927421500,"Dvořák, Tomáš"
TOMASZ PISKORSKI,6506784723,"Piskorski, Tomasz"
TONI WHITED,6602669176,"Whited, Toni M."
TORBEN ANDERSEN,7201524371,"Andersen, Torben G."
ULRIKE MALMENDIER,17342742600,"Malmendier, Ulrike"
URBAN JERMANN,6602317029,"Jermann, Urban J."
VALERIE RAMEY,10339832500,"Ramey, Valerie A."
VALERY POLKOVNICHENKO,55896944200,"Polkovnichenko, Valery"
VERNON HENDERSON,7801493347,"Henderson, J. Vernon"
VICTORIA IVASHINA,26323576100,"Ivashina, Victoria"
VICTORIA IVASINA,26323576100,"Ivashina, Victoria"
VINAY NAIR,9634803000,"Nair, Vinay B."
VINCENZO QUADRINI,6603158120,"Quadrini, Vincenzo"
VIRAL ACHARYA,7005203497,"Acharya, Viral V."
W ERWIN DIEWERT,6701690623,"Diewert, Walter Erwin"
WALTER TOROUS,6507294106,"Torous, Walter N."
WAYNE FERSON,6603889672,"Ferson, Wayne E."
WAYNE GUAY,56069219500,"Guay, Wayne R."
WEI XIONG,56662704700,"Xiong, Wei"
WILL GOETZMANN,57193483322,"Goetzmann, William Nelson"
WILL STRANGE,7006715604,"Strange, William C."
WILLIAM GOETZMANN,57193483322,"Goetzmann, William Nelson"
WILLIAM STRANGE,7006715604,"Strange, William C."
WILLIAM WASCHER,6603290283,"Wascher, William L."
WILLIAM WHEATON,7004513266,"Wheaton, William C."
YU-CHIN CHEN,25421210200,"Chen, Yungching"
YURIY GORODNICHENKO,8567095900,"Gorodnichenko, Yuriy"
